author_id,edit_history_tweet_ids,id,public_metrics,text,retweeter,withheld,tweeter
3398901250,[1624481935618633729],1624481935618633729,"{'retweet_count': 207, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",RT @Deu_Kurier: Mehr als 200.000 ukrainische Schüler besuchen inzwischen deutsche Schulen. Das bringt die ohnehin schon überlasteten Lehrkr…,pelihan42,,Deu_Kurier
2195841648,[1624481237040611330],1624481237040611330,"{'retweet_count': 8, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}","RT @BerlinSoul: Was ich liebe: Lehrerbashing von Lehrkräften gegen Lehrkräfte. Grund: Ich würde nicht für den Job leben, weil ich kein Karn…",IchTarzanDuJane,,BerlinSoul
1224340260085170178,[1624480715663462401],1624480715663462401,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",RT @Mokai1234: @Georg_Pazderski Vor allen Dingen wenn die friedvollen Grünen von den Migranten die Fresse poliert bekommen. Was wir an unse…,Maria5926223199,,Mokai1234
1332963778128916480,[1624479451076517890],1624479451076517890,"{'retweet_count': 207, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",RT @Deu_Kurier: Mehr als 200.000 ukrainische Schüler besuchen inzwischen deutsche Schulen. Das bringt die ohnehin schon überlasteten Lehrkr…,DerFrosch77,,Deu_Kurier
2475510442,[1624479404339372035],1624479404339372035,"{'retweet_count': 207, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",RT @Deu_Kurier: Mehr als 200.000 ukrainische Schüler besuchen inzwischen deutsche Schulen. Das bringt die ohnehin schon überlasteten Lehrkr…,rhe1ntaucher,,Deu_Kurier
1557086197641629696,[1624477026903097344],1624477026903097344,"{'retweet_count': 207, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",RT @Deu_Kurier: Mehr als 200.000 ukrainische Schüler besuchen inzwischen deutsche Schulen. Das bringt die ohnehin schon überlasteten Lehrkr…,thomuank,,Deu_Kurier
1160183215308623873,[1624476894199414784],1624476894199414784,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",RT @ehrenlehrer: Nach meiner gesetzlich vorgeschriebenen 41-Std.-Woche als Lehramt-Referendar in NRW habe ich heute (Samstag) mit drei Koll…,Bot_TwLehrerZ,,ehrenlehrer
1554433037189906433,[1624476705686450177],1624476705686450177,"{'retweet_count': 207, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",RT @Deu_Kurier: Mehr als 200.000 ukrainische Schüler besuchen inzwischen deutsche Schulen. Das bringt die ohnehin schon überlasteten Lehrkr…,schakol,,Deu_Kurier
1419576458046066690,[1624476149890809860],1624476149890809860,"{'retweet_count': 207, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",RT @Deu_Kurier: Mehr als 200.000 ukrainische Schüler besuchen inzwischen deutsche Schulen. Das bringt die ohnehin schon überlasteten Lehrkr…,martha39472645,,Deu_Kurier
900661661622820864,[1624475199105118209],1624475199105118209,"{'retweet_count': 207, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",RT @Deu_Kurier: Mehr als 200.000 ukrainische Schüler besuchen inzwischen deutsche Schulen. Das bringt die ohnehin schon überlasteten Lehrkr…,kl_Motte,,Deu_Kurier
1512772842680733696,[1624475158844002305],1624475158844002305,"{'retweet_count': 207, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",RT @Deu_Kurier: Mehr als 200.000 ukrainische Schüler besuchen inzwischen deutsche Schulen. Das bringt die ohnehin schon überlasteten Lehrkr…,TiniEngelfried,,Deu_Kurier
1361656523106226176,[1624474696770113540],1624474696770113540,"{'retweet_count': 207, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",RT @Deu_Kurier: Mehr als 200.000 ukrainische Schüler besuchen inzwischen deutsche Schulen. Das bringt die ohnehin schon überlasteten Lehrkr…,Burwig1,,Deu_Kurier
4723875743,[1624473765693345794],1624473765693345794,"{'retweet_count': 207, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",RT @Deu_Kurier: Mehr als 200.000 ukrainische Schüler besuchen inzwischen deutsche Schulen. Das bringt die ohnehin schon überlasteten Lehrkr…,KremkauH,,Deu_Kurier
1240266096038621185,[1624473157267558402],1624473157267558402,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}","RT @cote_langues: 5/ Einen Kommentar hab ich vergessen: ""Wenn man euer Gehalt auf die Stunden umrechnet, verdient ihr ja fast nix!!! Ich ge…",AngelikaGreine6,,cote_langues
1239144846348206080,[1624472288924950530],1624472288924950530,"{'retweet_count': 33, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}","RT @leseerlaubnis: Wenn Lehrkräfte rauchen würden, wäre vielen Eltern klar, dass man das auch in der letzten Reihe als gefährlich empfindet…",Kindadokta,,leseerlaubnis
